Gene	RANGE	N_INFORMATIVE	NumVar	NumPolyVar	V6	OptFreq	Zmax	NumPerm	ActualPerm	Stat	NumGreater	NumEqual	PermPvalue	CHROM	POS	endPOS	size	significant
WBGene00020386	V:3950026-3952068	129	193	193	NA	0.03876	565.681	10000	10000	565.681	18	0	0.0018	V	3950026	3952068	2042	FALSE
WBGene00011756	II:8514825-8517106,II:8515083-8517106	129	12	12	NA	0.003876	564.581	10000	10000	564.581	22	0	0.0022	II	8514825	8517106	2281	FALSE
WBGene00012996	II:13402979-13404629	129	91	91	NA	0.042636	563.425	10000	10000	563.425	23	0	0.0023	II	13402979	13404629	1650	FALSE
WBGene00012280	V:11689421-11691691	129	7	7	NA	0.007752	562.098	10000	10000	562.098	17	0	0.0017	V	11689421	11691691	2270	FALSE
WBGene00010652	I:11483391-11484571	129	18	18	NA	0.011628	561.531	10000	10000	561.531	16	0	0.0016	I	11483391	11484571	1180	FALSE
WBGene00009315	I:11517846-11520660,I:11517846-11519193,I:11517747-11520455	129	48	48	NA	0.011628	561.277	10000	10000	561.277	12	0	0.0012	I	11517846	11520660	2814	FALSE
WBGene00018628	I:10912912-10915796	129	35	35	NA	0.003876	561.207	10000	10000	561.207	16	0	0.0016	I	10912912	10915796	2884	FALSE
WBGene00015040	V:3955765-3957715	129	239	239	NA	0.034884	560.522	10000	10000	560.522	15	0	0.0015	V	3955765	3957715	1950	FALSE
WBGene00021627	V:4431685-4433187	129	47	46	NA	0.031008	560.162	10000	10000	560.162	11	0	0.0011	V	4431685	4433187	1502	FALSE
WBGene00005955	V:3929522-3930678	129	236	236	NA	0.03876	559.455	10000	10000	559.455	18	0	0.0018	V	3929522	3930678	1156	FALSE
WBGene00050875	I:11465141-11467609	129	65	65	NA	0.007752	559.097	10000	10000	559.097	18	0	0.0018	I	11465141	11467609	2468	FALSE
WBGene00021556	V:4164843-4166758	129	118	118	NA	0.007752	558.171	10000	10000	558.171	19	0	0.0019	V	4164843	4166758	1915	FALSE
WBGene00015012	II:2040394-2041615,II:2040270-2041615	129	110	110	NA	0.034884	556.801	10000	10000	556.801	11	0	0.0011	II	2040394	2041615	1221	FALSE
WBGene00019472	V:3939126-3941235	129	301	300	NA	0.042636	556.602	10000	10000	556.602	5	0	5e-04	V	3939126	3941235	2109	FALSE
WBGene00196242	V:3939356-3939458	129	14	14	NA	0.03876	556.508	10000	10000	556.508	13	0	0.0013	V	3939356	3939458	102	FALSE
WBGene00011561	III:10337839-10339435	129	9	9	NA	0.003876	554.85	10000	10000	554.85	20	0	0.002	III	10337839	10339435	1596	FALSE
WBGene00015773	X:1818864-1821324	129	93	93	NA	0.003876	553.321	10000	10000	553.321	28	0	0.0028	X	1818864	1821324	2460	FALSE
WBGene00020529	V:6813699-6814961	129	22	22	NA	0.003876	552.752	10000	10000	552.752	30	0	0.003	V	6813699	6814961	1262	FALSE
WBGene00012853	V:20789470-20790785	129	9	9	NA	0.011628	548.922	10000	10000	548.922	22	0	0.0022	V	20789470	20790785	1315	FALSE
WBGene00004277	III:1078154-1080342,III:1078149-1080481	129	127	127	NA	0.007752	547.934	10000	10000	547.934	36	0	0.0036	III	1078154	1080342	2188	FALSE
WBGene00000861	V:4842835-4843845	129	11	11	NA	0.003876	545.705	10000	10000	545.705	37	0	0.0037	V	4842835	4843845	1010	FALSE
WBGene00005692	V:9811460-9812619	129	6	6	NA	0.007752	545.705	10000	10000	545.705	27	2	0.0028	V	9811460	9812619	1159	FALSE
WBGene00044312	III:6870335-6871125	129	4	4	NA	0.003876	545.705	10000	10000	545.705	29	3	0.00305	III	6870335	6871125	790	FALSE
WBGene00010706	X:13267604-13269697	129	10	10	NA	0.003876	545.705	10000	10000	545.705	31	2	0.0032	X	13267604	13269697	2093	FALSE
WBGene00010251	V:9741222-9744231	129	12	12	NA	0.007752	543.128	10000	10000	543.128	30	0	0.003	V	9741222	9744231	3009	FALSE
WBGene00007266	X:11257360-11260225,X:11257492-11260225	129	17	17	NA	0.007752	542.419	10000	10000	542.419	20	0	0.002	X	11257360	11260225	2865	FALSE
WBGene00008763	I:7296912-7299977,I:7296912-7299812	129	11	11	NA	0.003876	542.351	10000	10000	542.351	25	0	0.0025	I	7296912	7299977	3065	FALSE
WBGene00013941	V:17105782-17106656	129	93	93	NA	0.007752	540.57	10000	10000	540.57	36	0	0.0036	V	17105782	17106656	874	FALSE
WBGene00201075	I:10400396-10400619	129	2	2	NA	0.025076	540.272	10000	10000	540.272	30	0	0.003	I	10400396	10400619	223	FALSE
WBGene00016782	V:4043915-4045001,V:4043915-4044951	129	50	50	NA	0.031008	539.379	10000	10000	539.379	19	0	0.0019	V	4043915	4045001	1086	FALSE
WBGene00020756	V:3553148-3554570	129	11	11	NA	0.011628	538.691	10000	10000	538.691	23	0	0.0023	V	3553148	3554570	1422	FALSE
WBGene00011097	V:12092025-12093862,V:12092025-12093549	129	11	11	NA	0.003876	538.36	10000	10000	538.36	34	2	0.0035	V	12092025	12093862	1837	FALSE
WBGene00013014	II:13415023-13424452,II:13415025-13424452,II:13415023-13424443,II:13418962-13424452,II:13415854-13424452,II:13415031-13424452	129	359	359	NA	0.03876	537.338	10000	10000	537.338	34	0	0.0034	II	13415023	13424452	9429	FALSE
WBGene00013483	V:18699450-18700992	129	163	163	NA	0.007752	535.326	10000	10000	535.326	17	0	0.0017	V	18699450	18700992	1542	FALSE
WBGene00020424	V:6649616-6652050	129	11	10	NA	0.007752	534.662	10000	10000	534.662	17	0	0.0017	V	6649616	6652050	2434	FALSE
WBGene00017412	V:4393427-4396534	129	61	61	NA	0.011628	534.214	10000	10000	534.214	31	0	0.0031	V	4393427	4396534	3107	FALSE
WBGene00015518	III:8605831-8606504	129	5	4	NA	0.003876	533.969	10000	10000	533.969	32	1	0.00325	III	8605831	8606504	673	FALSE
WBGene00197025	X:7945251-7945391	129	2	2	NA	0.024463	533.969	10000	10000	533.969	23	2	0.0024	X	7945251	7945391	140	FALSE
WBGene00197458	X:6949781-6949929	129	2	2	NA	0.007752	533.969	10000	10000	533.969	22	1	0.00225	X	6949781	6949929	148	FALSE
WBGene00198272	X:6949781-6949929	129	2	2	NA	0.007752	533.969	10000	10000	533.969	26	1	0.00265	X	6949781	6949929	148	FALSE
WBGene00196892	II:10072418-10072636	129	2	1	NA	0.007752	533.969	10000	10000	533.969	15	1	0.00155	II	10072418	10072636	218	FALSE
WBGene00201229	II:10072339-10072597	129	2	1	NA	0.007752	533.969	10000	10000	533.969	10	3	0.00115	II	10072339	10072597	258	FALSE
WBGene00197861	X:17367100-17367325	129	3	2	NA	0.007752	533.969	10000	10000	533.969	27	1	0.00275	X	17367100	17367325	225	FALSE
WBGene00197332	X:14955306-14955592	129	4	3	NA	0.003876	533.969	10000	10000	533.969	27	2	0.0028	X	14955306	14955592	286	FALSE
WBGene00197997	IV:11789159-11789372	129	3	3	NA	0.007752	533.969	10000	10000	533.969	33	1	0.00335	IV	11789159	11789372	213	FALSE
WBGene00000386	I:6469384-6471922,I:6469384-6471951	129	11	10	NA	0.003876	533.969	10000	10000	533.969	38	1	0.00385	I	6469384	6471922	2538	FALSE
WBGene00019682	III:8048423-8051155,III:8048466-8051155	129	10	9	NA	0.003876	533.969	10000	10000	533.969	30	1	0.00305	III	8048423	8051155	2732	FALSE
WBGene00011005	V:10089156-10090561	129	8	8	NA	0.007752	533.969	10000	10000	533.969	38	2	0.0039	V	10089156	10090561	1405	FALSE
WBGene00021388	I:10863919-10864622	129	4	4	NA	0.007752	533.969	10000	10000	533.969	42	1	0.00425	I	10863919	10864622	703	FALSE
WBGene00005356	V:16483980-16485382	129	83	83	NA	0.003876	532.646	10000	10000	532.646	28	0	0.0028	V	16483980	16485382	1402	FALSE
WBGene00016335	II:2176891-2181975,II:2176939-2181975	129	449	449	NA	0.003876	532.35	10000	10000	532.35	35	0	0.0035	II	2176891	2181975	5084	FALSE
WBGene00007325	X:11160980-11163686	129	18	18	NA	0.003876	532.074	10000	10000	532.074	29	0	0.0029	X	11160980	11163686	2706	FALSE
WBGene00009314	I:11517565-11526562,I:11521831-11526962,I:11517671-11526962,I:11521829-11526562	129	167	166	NA	0.025119	531.728	10000	10000	531.728	15	0	0.0015	I	11517565	11526562	8997	FALSE
WBGene00009623	X:10311476-10312182,X:10307872-10312182	129	46	46	NA	0.003876	531.476	10000	10000	531.476	36	0	0.0036	X	10311476	10312182	706	FALSE
WBGene00006626	II:4706820-4710169	129	18	18	NA	0.003876	531.079	10000	10000	531.079	26	0	0.0026	II	4706820	4710169	3349	FALSE
WBGene00019473	V:3936373-3938496	129	381	380	NA	0.034884	529.656	10000	10000	529.656	24	0	0.0024	V	3936373	3938496	2123	FALSE
WBGene00044692	II:3749068-3750719	129	7	7	NA	0.003876	528.361	10000	10000	528.361	46	0	0.0046	II	3749068	3750719	1651	FALSE
WBGene00000750	X:10999741-11001852	129	10	10	NA	0.003876	528.361	10000	10000	528.361	56	0	0.0056	X	10999741	11001852	2111	FALSE
WBGene00017829	III:4910476-4912507,III:4910482-4912484	129	16	16	NA	0.003876	528.321	10000	10000	528.321	38	0	0.0038	III	4910476	4912507	2031	FALSE
WBGene00015025	I:10732541-10733685	129	7	7	NA	0.007752	527.486	10000	10000	527.486	38	0	0.0038	I	10732541	10733685	1144	FALSE
WBGene00011819	III:10087223-10088606,III:10087223-10088787	129	7	7	NA	0.025193	525.491	10000	10000	525.491	44	0	0.0044	III	10087223	10088606	1383	FALSE
WBGene00020609	V:3418262-3422733	129	62	61	NA	0.003876	525.276	10000	10000	525.276	38	0	0.0038	V	3418262	3422733	4471	FALSE
WBGene00001772	II:13610442-13611342	129	18	17	NA	0.003876	524.963	10000	10000	524.963	25	0	0.0025	II	13610442	13611342	900	FALSE
WBGene00005968	V:4666744-4668736	129	20	20	NA	0.003876	524.764	10000	10000	524.764	39	0	0.0039	V	4666744	4668736	1992	FALSE
WBGene00017982	V:4346088-4346425,V:4346087-4346919	129	53	53	NA	0.011628	524.246	10000	10000	524.246	33	0	0.0033	V	4346088	4346425	337	FALSE
WBGene00006956	II:7533299-7534514	129	7	7	NA	0.003876	522.465	10000	10000	522.465	41	0	0.0041	II	7533299	7534514	1215	FALSE
WBGene00013929	I:11142112-11144090	129	17	16	NA	0.015504	518.632	10000	10000	518.632	32	0	0.0032	I	11142112	11144090	1978	FALSE
WBGene00019840	V:4794598-4797015	129	31	31	NA	0.003876	518.029	10000	10000	518.029	44	0	0.0044	V	4794598	4797015	2417	FALSE
WBGene00018529	I:3963114-3964177	129	3	3	NA	0.015504	517.939	10000	10000	517.939	30	0	0.003	I	3963114	3964177	1063	FALSE
WBGene00006202	IV:4913389-4914866	129	12	12	NA	0.003876	517.693	10000	10000	517.693	66	1	0.00665	IV	4913389	4914866	1477	FALSE
WBGene00006212	IV:4939314-4941394	129	10	10	NA	0.003876	517.693	10000	10000	517.693	48	1	0.00485	IV	4939314	4941394	2080	FALSE
WBGene00001898	X:14490106-14491111	129	6	6	NA	0.007752	515.707	10000	10000	515.707	50	0	0.005	X	14490106	14491111	1005	FALSE
WBGene00220072	III:623809-623915	129	4	4	NA	0.015504	515.533	10000	10000	515.533	43	0	0.0043	III	623809	623915	106	FALSE
WBGene00044586	V:4553871-4554498	129	22	22	NA	0.003876	515.057	10000	10000	515.057	44	0	0.0044	V	4553871	4554498	627	FALSE
WBGene00017061	V:4329038-4332550	129	58	57	NA	0.042636	514.522	10000	10000	514.522	18	0	0.0018	V	4329038	4332550	3512	FALSE
WBGene00013238	III:11920734-11921618,III:11920715-11921618	129	10	10	NA	0.003876	510.939	10000	10000	510.939	47	0	0.0047	III	11920734	11921618	884	FALSE
WBGene00220045	V:11917088-11917242	129	3	3	NA	0.007752	510.874	10000	10000	510.874	33	0	0.0033	V	11917088	11917242	154	FALSE
WBGene00008587	X:11300282-11302617	129	13	13	NA	0.003876	509.39	10000	10000	509.39	41	0	0.0041	X	11300282	11302617	2335	FALSE
WBGene00003591	V:4855324-4857260	129	43	43	NA	0.003876	508.975	10000	10000	508.975	40	0	0.004	V	4855324	4857260	1936	FALSE
WBGene00011073	X:10744337-10746488	129	22	21	NA	0.007752	508.164	10000	10000	508.164	36	0	0.0036	X	10744337	10746488	2151	FALSE
WBGene00235328	V:9651593-9651777,V:9651593-9652151	129	9	9	NA	0.007752	507.795	10000	10000	507.795	56	0	0.0056	V	9651593	9651777	184	FALSE
WBGene00195171	V:5366898-5368915	129	33	33	NA	0.003876	507.664	10000	10000	507.664	51	0	0.0051	V	5366898	5368915	2017	FALSE
WBGene00020611	V:3413343-3415816	129	14	13	NA	0.003876	507.038	10000	10000	507.038	35	0	0.0035	V	3413343	3415816	2473	FALSE
WBGene00014953	II:13080825-13081227	129	12	12	NA	0.003876	506.375	10000	10000	506.375	47	0	0.0047	II	13080825	13081227	402	FALSE
WBGene00007250	II:14580330-14581043,II:14580330-14580649	129	5	5	NA	0.003876	506.358	10000	10000	506.358	54	0	0.0054	II	14580330	14581043	713	FALSE
WBGene00007312	II:14534297-14535266	129	10	10	NA	0.003876	506.358	10000	10000	506.358	60	2	0.0061	II	14534297	14535266	969	FALSE
WBGene00044743	X:9211007-9212325	129	8	8	NA	0.003876	506.358	10000	10000	506.358	72	0	0.0072	X	9211007	9212325	1318	FALSE
WBGene00195149	II:14388512-14388824	129	5	5	NA	0.003876	506.358	10000	10000	506.358	42	0	0.0042	II	14388512	14388824	312	FALSE
WBGene00197731	V:11658152-11658364	129	2	1	NA	0.007752	506.358	10000	10000	506.358	33	1	0.00335	V	11658152	11658364	212	FALSE
WBGene00001603	III:9943239-9944761	129	5	5	NA	0.003876	506.358	10000	10000	506.358	58	0	0.0058	III	9943239	9944761	1522	FALSE
WBGene00022744	X:4164301-4166138	129	10	10	NA	0.003876	506.358	10000	10000	506.358	67	1	0.00675	X	4164301	4166138	1837	FALSE
WBGene00010067	X:11867970-11869360	129	10	9	NA	0.011628	506.162	10000	10000	506.162	60	0	0.006	X	11867970	11869360	1390	FALSE
WBGene00020073	II:2131079-2132475	129	166	166	NA	0.031008	505.886	10000	10000	505.886	42	0	0.0042	II	2131079	2132475	1396	FALSE
WBGene00009486	V:15968421-15969753	129	33	33	NA	0.003876	503.986	10000	10000	503.986	74	0	0.0074	V	15968421	15969753	1332	FALSE
WBGene00022018	V:4558323-4559801	129	26	25	NA	0.003876	503.721	10000	10000	503.721	32	0	0.0032	V	4558323	4559801	1478	FALSE
WBGene00006894	III:156823-163542	129	479	479	NA	0.003876	502.74	10000	10000	502.74	56	0	0.0056	III	156823	163542	6719	FALSE
WBGene00014826	V:11836358-11838019,V:11836722-11838019,V:11836369-11837701	129	7	7	NA	0.003876	501.97	10000	10000	501.97	73	2	0.0074	V	11836358	11838019	1661	FALSE
WBGene00012373	II:13184428-13185023	129	14	14	NA	0.003876	501.97	10000	10000	501.97	67	0	0.0067	II	13184428	13185023	595	FALSE
WBGene00006807	I:11592301-11601605	129	171	171	NA	0.007752	501.878	10000	10000	501.878	54	0	0.0054	I	11592301	11601605	9304	FALSE
WBGene00006242	V:4948934-4951024	129	43	43	NA	0.003876	501.739	10000	10000	501.739	51	0	0.0051	V	4948934	4951024	2090	FALSE
WBGene00001714	V:4412746-4414626	129	29	28	NA	0.007752	501.711	10000	10000	501.711	23	0	0.0023	V	4412746	4414626	1880	FALSE
WBGene00010199	X:10569272-10575721,X:10569118-10575721,X:10569272-10575698,X:10569118-10575698	129	84	83	NA	0.027132	501.06	10000	10000	501.06	36	0	0.0036	X	10569272	10575721	6449	FALSE
WBGene00007483	X:11041031-11042857	129	4	4	NA	0.024526	500.881	10000	10000	500.881	62	0	0.0062	X	11041031	11042857	1826	FALSE
WBGene00008999	X:10181138-10187958,X:10181138-10189202,X:10181138-10188472,X:10181138-10188478,X:10181138-10194377,X:10181138-10187986,X:10181138-10190440	129	83	82	NA	0.003876	499.701	10000	10000	499.701	23	0	0.0023	X	10181138	10187958	6820	FALSE
WBGene00195613	I:9089011-9089228	129	5	5	NA	0.025281	498.399	10000	10000	498.399	33	0	0.0033	I	9089011	9089228	217	FALSE
WBGene00009622	X:10307040-10310466	129	32	32	NA	0.003876	498.218	10000	10000	498.218	76	0	0.0076	X	10307040	10310466	3426	FALSE
WBGene00013602	I:13560527-13563465	129	33	32	NA	0.042636	498.162	10000	10000	498.162	36	0	0.0036	I	13560527	13563465	2938	FALSE
WBGene00010625	V:10339499-10340970	129	5	5	NA	0.003876	497.964	10000	10000	497.964	61	74	0.0098	V	10339499	10340970	1471	FALSE
WBGene00006896	X:10992509-10997428	129	14	14	NA	0.025105	497.583	10000	10000	497.583	83	0	0.0083	X	10992509	10997428	4919	FALSE
WBGene00020287	IV:16862395-16865485	129	102	102	NA	0.011628	496.132	10000	10000	496.132	89	0	0.0089	IV	16862395	16865485	3090	FALSE
WBGene00004963	I:11582742-11586069,I:11582742-11584478	129	47	47	NA	0.007752	495.936	10000	10000	495.936	51	0	0.0051	I	11582742	11586069	3327	FALSE
WBGene00004418	I:111037-112308,I:111037-112417	129	4	3	NA	0.025674	495.37	10000	10000	495.37	49	0	0.0049	I	111037	112308	1271	FALSE
WBGene00008474	I:12417385-12418800	129	51	50	NA	0.003876	495.185	10000	10000	495.185	30	0	0.003	I	12417385	12418800	1415	FALSE
WBGene00005406	V:4288411-4290193	129	32	31	NA	0.011628	495.173	10000	10000	495.173	34	0	0.0034	V	4288411	4290193	1782	FALSE
WBGene00021340	III:1026461-1028415,III:1026915-1031065	129	445	445	NA	0.015504	494.286	10000	10000	494.286	92	0	0.0092	III	1026461	1028415	1954	FALSE
WBGene00020371	V:4480679-4481546	129	13	13	NA	0.034884	493.991	10000	10000	493.991	63	0	0.0063	V	4480679	4481546	867	FALSE
WBGene00011460	X:10787506-10789690	129	15	14	NA	0.025212	492.831	10000	10000	492.831	21	0	0.0021	X	10787506	10789690	2184	FALSE
WBGene00003841	IV:7329619-7332811	129	42	42	NA	0.003876	492.152	10000	10000	492.152	69	0	0.0069	IV	7329619	7332811	3192	FALSE
WBGene00017153	III:1028774-1030392	129	150	150	NA	0.011628	492.091	10000	10000	492.091	48	0	0.0048	III	1028774	1030392	1618	FALSE
WBGene00013914	III:12785153-12793128	129	86	85	NA	0.026375	492.007	10000	10000	492.007	44	0	0.0044	III	12785153	12793128	7975	FALSE
WBGene00219371	X:8521913-8522901	129	5	5	NA	0.031008	491.853	10000	10000	491.853	56	0	0.0056	X	8521913	8522901	988	FALSE
WBGene00194912	V:10184726-10185989	129	10	10	NA	0.003876	491.555	10000	10000	491.555	66	0	0.0066	V	10184726	10185989	1263	FALSE
WBGene00011581	I:12603771-12606248	129	38	38	NA	0.007752	491.318	10000	10000	491.318	65	0	0.0065	I	12603771	12606248	2477	FALSE
WBGene00003047	III:13371170-13376710	129	45	45	NA	0.003876	491.128	10000	10000	491.128	63	0	0.0063	III	13371170	13376710	5540	FALSE
WBGene00007640	I:11604603-11611301	129	166	166	NA	0.007752	490.391	10000	10000	490.391	59	0	0.0059	I	11604603	11611301	6698	FALSE
WBGene00005596	V:3247814-3249140	129	57	57	NA	0.003876	490.172	10000	10000	490.172	68	0	0.0068	V	3247814	3249140	1326	FALSE
WBGene00008749	X:10695307-10697898	129	20	19	NA	0.007752	489.398	10000	10000	489.398	19	0	0.0019	X	10695307	10697898	2591	FALSE
WBGene00015560	X:4544875-4545418	129	4	4	NA	0.007752	489.218	10000	10000	489.218	153	0	0.0153	X	4544875	4545418	543	FALSE
WBGene00010334	X:11004990-11008181,X:11005000-11008181	129	22	21	NA	0.007752	489.214	10000	10000	489.214	45	0	0.0045	X	11004990	11008181	3191	FALSE
WBGene00202154	V:3945609-3945679	129	4	4	NA	0.042636	488.81	10000	10000	488.81	122	0	0.0122	V	3945609	3945679	70	FALSE
WBGene00007955	X:11545115-11546495,X:11545115-11546495	129	6	6	NA	0.007752	488.581	10000	10000	488.581	91	0	0.0091	X	11545115	11546495	1380	FALSE
WBGene00045457	II:2586076-2586911	129	11	11	NA	0.003876	487.59	10000	10000	487.59	75	0	0.0075	II	2586076	2586911	835	FALSE
WBGene00022523	V:4301292-4304394	129	48	48	NA	0.031008	487.448	10000	10000	487.448	61	0	0.0061	V	4301292	4304394	3102	FALSE
WBGene00019470	V:3945352-3947044	129	285	285	NA	0.042636	487.214	10000	10000	487.214	63	0	0.0063	V	3945352	3947044	1692	FALSE
