Gene	RANGE	N_INFORMATIVE	NumVar	NumPolyVar	Q	Pvalue	NumPerm	ActualPerm	Stat	NumGreater	NumEqual	PermPvalue	CHROM	POS	endPOS	size	significant
WBGene00013483	V:18699450-18700992	129	163	163	184834000	0.000404277	10000	10000	184834000	16	0	0.0016	V	18699450	18700992	1542	FALSE
WBGene00004001	X:10864968-10870237	129	63	62	49021600	0.000404656	10000	10000	49021600	6	0	6e-04	X	10864968	10870237	5269	FALSE
WBGene00012257	X:11065132-11066811	129	6	6	3791500	0.000407925	10000	10000	3791500	6	0	6e-04	X	11065132	11066811	1679	FALSE
WBGene00197003	II:11157792-11157934	129	5	5	3018590	0.000411794	10000	10000	3018590	21	0	0.0021	II	11157792	11157934	142	FALSE
WBGene00008855	I:11570885-11571230	129	11	11	7497480	0.000414778	10000	10000	7497480	15	0	0.0015	I	11570885	11571230	345	FALSE
WBGene00003664	I:11429071-11432064	129	69	69	40438700	0.000442289	10000	10000	40438700	15	0	0.0015	I	11429071	11432064	2993	FALSE
WBGene00001883	II:13823647-13824058	129	3	2	1673460	0.000455722	10000	10000	1673460	20	0	0.002	II	13823647	13824058	411	FALSE
WBGene00010650	I:11484769-11486536	129	38	38	18970700	0.000457696	10000	10000	18970700	13	0	0.0013	I	11484769	11486536	1767	FALSE
WBGene00012251	V:19748986-19751212	129	115	115	101893000	0.000492199	10000	10000	101893000	18	0	0.0018	V	19748986	19751212	2226	FALSE
WBGene00201199	IV:842804-842891	129	2	2	1385300	0.000498692	10000	10000	1385300	9	0	9e-04	IV	842804	842891	87	FALSE
WBGene00200107	II:8094189-8094318	129	2	2	7501410	0.000514311	10000	10000	7501410	4	0	4e-04	II	8094189	8094318	129	FALSE
WBGene00199712	II:8094189-8094318	129	2	2	7501930	0.000514313	10000	10000	7501930	11	0	0.0011	II	8094189	8094318	129	FALSE
WBGene00195608	I:11381621-11381692	129	4	3	2297560	0.00051471	10000	10000	2297560	22	0	0.0022	I	11381621	11381692	71	FALSE
WBGene00015897	V:3906140-3906947	129	142	141	126295000	0.000553867	10000	10000	126295000	17	0	0.0017	V	3906140	3906947	807	FALSE
WBGene00019470	V:3945352-3947044	129	285	285	275739000	0.000615941	10000	10000	275739000	10	0	0.001	V	3945352	3947044	1692	FALSE
WBGene00011654	I:12356941-12359341	129	61	60	29197800	0.000616678	10000	10000	29197800	15	0	0.0015	I	12356941	12359341	2400	FALSE
WBGene00010158	I:11358166-11359301	129	10	9	12458400	0.000655227	10000	10000	12458400	12	0	0.0012	I	11358166	11359301	1135	FALSE
WBGene00077771	I:9515000-9515839,I:9515000-9515859,I:9515000-9516776	129	6	6	8372170	0.000664581	10000	10000	8372170	15	0	0.0015	I	9515000	9515839	839	FALSE
WBGene00007639	I:11586235-11587331	129	19	19	12896400	0.000671801	10000	10000	12896400	21	0	0.0021	I	11586235	11587331	1096	FALSE
WBGene00020370	V:4471378-4473602	129	80	80	61454400	0.000711973	10000	10000	61454400	21	0	0.0021	V	4471378	4473602	2224	FALSE
WBGene00206529	II:6852218-6853491	129	15	15	12695100	0.000743154	10000	10000	12695100	4	0	4e-04	II	6852218	6853491	1273	FALSE
WBGene00197332	X:14955306-14955592	129	4	3	2421040	0.000749183	10000	10000	2421040	19	0	0.0019	X	14955306	14955592	286	FALSE
WBGene00012996	II:13402979-13404629	129	91	91	36713400	0.000755815	10000	10000	36713400	8	0	8e-04	II	13402979	13404629	1650	FALSE
WBGene00001498	II:8464847-8467079	129	7	7	7537070	0.000756939	10000	10000	7537070	6	0	6e-04	II	8464847	8467079	2232	FALSE
WBGene00197731	V:11658152-11658364	129	2	1	692389	0.000764441	10000	10000	692389	24	0	0.0024	V	11658152	11658364	212	FALSE
WBGene00006434	II:5378841-5379636,II:5378062-5379636	129	7	7	12494700	0.000784725	10000	10000	12494700	6	0	6e-04	II	5378841	5379636	795	FALSE
WBGene00012853	V:20789470-20790785	129	9	9	6306370	0.000789107	10000	10000	6306370	10	0	0.001	V	20789470	20790785	1315	FALSE
WBGene00003679	I:12439935-12441253	129	218	218	203805000	0.00083638	10000	10000	203805000	28	0	0.0028	I	12439935	12441253	1318	FALSE
WBGene00021627	V:4431685-4433187	129	47	46	41760300	0.000859946	10000	10000	41760300	22	0	0.0022	V	4431685	4433187	1502	FALSE
WBGene00195613	I:9089011-9089228	129	5	5	7716530	0.000879254	10000	10000	7716530	21	0	0.0021	I	9089011	9089228	217	FALSE
WBGene00001571	II:8273468-8276021	129	10	10	13050400	0.000879895	10000	10000	13050400	9	0	9e-04	II	8273468	8276021	2553	FALSE
WBGene00022523	V:4301292-4304394	129	48	48	28937500	0.000887069	10000	10000	28937500	17	0	0.0017	V	4301292	4304394	3102	FALSE
WBGene00045289	II:13649497-13655347	129	180	179	122769000	0.00089032	10000	10000	122769000	9	0	9e-04	II	13649497	13655347	5850	FALSE
WBGene00008858	I:11579856-11581986	129	37	37	22924500	0.000902794	10000	10000	22924500	22	0	0.0022	I	11579856	11581986	2130	FALSE
WBGene00004099	V:5158622-5159897	129	19	19	8634410	0.000928297	10000	10000	8634410	18	0	0.0018	V	5158622	5159897	1275	FALSE
WBGene00010199	X:10569272-10575721,X:10569118-10575721,X:10569272-10575698,X:10569118-10575698	129	84	83	47440700	0.000930169	10000	10000	47440700	17	0	0.0017	X	10569272	10575721	6449	FALSE
WBGene00007210	III:12793383-12798157	129	54	54	24612500	0.000934703	10000	10000	24612500	21	0	0.0021	III	12793383	12798157	4774	FALSE
WBGene00017062	V:4338876-4341308,V:4338911-4341308	129	46	45	40164800	0.000944775	10000	10000	40164800	10	0	0.001	V	4338876	4341308	2432	FALSE
WBGene00206495	V:17435677-17436592,V:17435677-17436592	129	39	39	15293800	0.000954647	10000	10000	15293800	23	0	0.0023	V	17435677	17436592	915	FALSE
WBGene00021353	I:2085672-2093822,I:2085672-2090578	129	179	178	115973000	0.000967559	10000	10000	115973000	28	0	0.0028	I	2085672	2093822	8150	FALSE
WBGene00016781	V:4046404-4047436	129	48	48	33145800	0.000979052	10000	10000	33145800	16	0	0.0016	V	4046404	4047436	1032	FALSE
WBGene00017138	II:5395419-5398902	129	17	17	14563200	0.000993896	10000	10000	14563200	12	0	0.0012	II	5395419	5398902	3483	FALSE
WBGene00001550	IV:17432976-17440091,IV:17432976-17440091	129	111	111	51484100	0.00102589	10000	10000	51484100	31	0	0.0031	IV	17432976	17440091	7115	FALSE
WBGene00003715	V:4322120-4325507	129	69	68	49090300	0.00108401	10000	10000	49090300	14	0	0.0014	V	4322120	4325507	3387	FALSE
WBGene00013128	I:11034049-11038827	129	65	65	34321200	0.00109849	10000	10000	34321200	46	0	0.0046	I	11034049	11038827	4778	FALSE
WBGene00021704	III:2112413-2116897	129	161	161	50456800	0.00110882	10000	10000	50456800	12	0	0.0012	III	2112413	2116897	4484	FALSE
WBGene00206476	I:2055128-2059225	129	51	50	29954300	0.0011564	10000	10000	29954300	34	0	0.0034	I	2055128	2059225	4097	FALSE
WBGene00008061	I:9517022-9518734	129	7	6	9790990	0.00116969	10000	10000	9790990	24	0	0.0024	I	9517022	9518734	1712	FALSE
WBGene00007483	X:11041031-11042857	129	4	4	3124860	0.00118486	10000	10000	3124860	22	0	0.0022	X	11041031	11042857	1826	FALSE
WBGene00008854	I:11565237-11570803	129	80	79	39836600	0.00122614	10000	10000	39836600	34	0	0.0034	I	11565237	11570803	5566	FALSE
WBGene00007443	IV:11149853-11150932,IV:11150527-11150822	129	3	3	1790750	0.00123062	10000	10000	1790750	41	0	0.0041	IV	11149853	11150932	1079	FALSE
WBGene00086563	I:11498449-11498715	129	5	5	2032800	0.00127734	10000	10000	2032800	19	0	0.0019	I	11498449	11498715	266	FALSE
WBGene00008766	I:7303344-7304687	129	3	3	2011480	0.00130378	10000	10000	2011480	46	0	0.0046	I	7303344	7304687	1343	FALSE
WBGene00015898	V:3894960-3898208	129	233	232	211333000	0.00132062	10000	10000	211333000	40	0	0.004	V	3894960	3898208	3248	FALSE
WBGene00008062	I:9519241-9521273	129	7	7	3402140	0.00134134	10000	10000	3402140	25	0	0.0025	I	9519241	9521273	2032	FALSE
WBGene00003799	I:2097345-2123442,I:2098646-2123442	129	576	576	214670000	0.00135789	10000	10000	214670000	32	0	0.0032	I	2097345	2123442	26097	FALSE
WBGene00004963	I:11582742-11586069,I:11582742-11584478	129	47	47	21492700	0.00136477	10000	10000	21492700	34	0	0.0034	I	11582742	11586069	3327	FALSE
WBGene00008211	X:11994783-11995839	129	13	13	7224400	0.00139661	10000	10000	7224400	32	0	0.0032	X	11994783	11995839	1056	FALSE
WBGene00012480	I:12859498-12861197	129	38	38	24346300	0.00141674	10000	10000	24346300	26	0	0.0026	I	12859498	12861197	1699	FALSE
WBGene00010922	III:10931207-10932226	129	7	7	4071410	0.00146185	10000	10000	4071410	33	0	0.0033	III	10931207	10932226	1019	FALSE
WBGene00001603	III:9943239-9944761	129	5	5	3057660	0.00150193	10000	10000	3057660	24	0	0.0024	III	9943239	9944761	1522	FALSE
WBGene00015012	II:2040394-2041615,II:2040270-2041615	129	110	110	67189700	0.00152943	10000	10000	67189700	43	0	0.0043	II	2040394	2041615	1221	FALSE
WBGene00019961	V:3769797-3771518,V:3769797-3771491	129	38	37	19456800	0.00155633	10000	10000	19456800	38	0	0.0038	V	3769797	3771518	1721	FALSE
WBGene00012208	I:12532668-12534355,I:12532855-12534355,I:12532668-12534355	129	18	18	8122340	0.00156635	10000	10000	8122340	29	0	0.0029	I	12532668	12534355	1687	FALSE
WBGene00020860	I:10878046-10878378	129	4	4	2087730	0.00160942	10000	10000	2087730	52	0	0.0052	I	10878046	10878378	332	FALSE
WBGene00020073	II:2131079-2132475	129	166	166	78045600	0.00165971	10000	10000	78045600	18	0	0.0018	II	2131079	2132475	1396	FALSE
WBGene00020609	V:3418262-3422733	129	62	61	49327200	0.0017367	10000	10000	49327200	56	0	0.0056	V	3418262	3422733	4471	FALSE
WBGene00022527	V:4317919-4320001	129	24	24	13315900	0.00177454	10000	10000	13315900	29	0	0.0029	V	4317919	4320001	2082	FALSE
WBGene00008802	II:8429989-8431930,II:8429989-8432054	129	12	12	8195740	0.00178172	10000	10000	8195740	20	0	0.002	II	8429989	8431930	1941	FALSE
WBGene00013181	I:11292660-11294182	129	15	15	6769290	0.00179247	10000	10000	6769290	51	0	0.0051	I	11292660	11294182	1522	FALSE
WBGene00077525	I:9530815-9532831	129	13	12	12914100	0.00182916	10000	10000	12914100	30	0	0.003	I	9530815	9532831	2016	FALSE
WBGene00014053	II:7941150-7942610	129	6	6	6929460	0.00184063	10000	10000	6929460	10	0	0.001	II	7941150	7942610	1460	FALSE
WBGene00004418	I:111037-112308,I:111037-112417	129	4	3	3509310	0.00184918	10000	10000	3509310	35	0	0.0035	I	111037	112308	1271	FALSE
WBGene00022259	V:3193393-3195002	129	17	16	8395130	0.0018598	10000	10000	8395130	49	0	0.0049	V	3193393	3195002	1609	FALSE
WBGene00019488	II:4028576-4029985,II:4028576-4030017	129	9	9	10885800	0.00187181	10000	10000	10885800	16	0	0.0016	II	4028576	4029985	1409	FALSE
WBGene00020369	V:4483467-4486531	129	75	75	34277800	0.00192524	10000	10000	34277800	39	0	0.0039	V	4483467	4486531	3064	FALSE
WBGene00012608	II:12994357-12996196,II:12994357-12996412,II:12994357-12996344,II:12994357-12996571,II:12994357-12996383,II:12994357-12996344,II:12994357-12996344	129	15	15	4745570	0.00194436	10000	10000	4745570	13	0	0.0013	II	12994357	12996196	1839	FALSE
WBGene00007746	II:8350534-8354700	129	11	11	9217920	0.00197696	10000	10000	9217920	33	0	0.0033	II	8350534	8354700	4166	FALSE
WBGene00010420	I:12647375-12652087	129	122	122	53385500	0.00199538	10000	10000	53385500	36	0	0.0036	I	12647375	12652087	4712	FALSE
WBGene00013551	III:12219022-12224072	129	158	158	52318800	0.00203002	10000	10000	52318800	29	0	0.0029	III	12219022	12224072	5050	FALSE
WBGene00004813	V:4422405-4423065	129	7	7	3587930	0.00203941	10000	10000	3587930	62	0	0.0062	V	4422405	4423065	660	FALSE
WBGene00009758	V:20603365-20604370,V:20603365-20604290,V:20603365-20604378	129	6	6	2792640	0.00208772	10000	10000	2792640	38	0	0.0038	V	20603365	20604370	1005	FALSE
WBGene00002226	I:9512451-9514755	129	8	8	4301730	0.00214784	10000	10000	4301730	38	0	0.0038	I	9512451	9514755	2304	FALSE
WBGene00007144	II:11495691-11496669	129	6	5	2743060	0.00217635	10000	10000	2743060	47	0	0.0047	II	11495691	11496669	978	FALSE
WBGene00020240	V:4117584-4118432	129	107	107	52207700	0.00218289	10000	10000	52207700	41	0	0.0041	V	4117584	4118432	848	FALSE
WBGene00197757	I:10750029-10750154	129	3	3	2284530	0.00218324	10000	10000	2284530	72	0	0.0072	I	10750029	10750154	125	FALSE
WBGene00006771	I:1721591-1740918,I:1721591-1733032,I:1729881-1740918,I:1734591-1740918	129	204	204	74909100	0.00220673	10000	10000	74909100	46	0	0.0046	I	1721591	1740918	19327	FALSE
WBGene00020548	III:145046-145299	129	2	2	3714650	0.00223251	10000	10000	3714650	40	0	0.004	III	145046	145299	253	FALSE
WBGene00016771	II:3882420-3884812	129	37	37	22283800	0.00225196	10000	10000	22283800	34	0	0.0034	II	3882420	3884812	2392	FALSE
WBGene00009537	IV:16278212-16279018	129	23	22	13074100	0.00226918	10000	10000	13074100	42	0	0.0042	IV	16278212	16279018	806	FALSE
WBGene00001372	I:11907554-11909251,I:11907554-11909280,I:11908080-11909251	129	33	32	18503600	0.00228494	10000	10000	18503600	34	0	0.0034	I	11907554	11909251	1697	FALSE
WBGene00007646	I:9431248-9433811,I:9431270-9433811	129	6	5	5114270	0.00229315	10000	10000	5114270	26	0	0.0026	I	9431248	9433811	2563	FALSE
WBGene00000750	X:10999741-11001852	129	10	10	9873730	0.00236858	10000	10000	9873730	42	0	0.0042	X	10999741	11001852	2111	FALSE
WBGene00001642	I:12376903-12378674	129	93	93	47069700	0.00238302	10000	10000	47069700	87	0	0.0087	I	12376903	12378674	1771	FALSE
WBGene00006896	X:10992509-10997428	129	14	14	8576080	0.00239642	10000	10000	8576080	50	0	0.005	X	10992509	10997428	4919	FALSE
WBGene00011819	III:10087223-10088606,III:10087223-10088787	129	7	7	3663320	0.00245819	10000	10000	3663320	36	0	0.0036	III	10087223	10088606	1383	FALSE
WBGene00006782	V:5097108-5098907	129	12	11	5208240	0.00250833	10000	10000	5208240	46	0	0.0046	V	5097108	5098907	1799	FALSE
WBGene00021559	V:4166759-4169835	129	85	85	43582900	0.00250982	10000	10000	43582900	44	0	0.0044	V	4166759	4169835	3076	FALSE
WBGene00010768	I:12497459-12504938	129	97	96	66406100	0.00251438	10000	10000	66406100	44	0	0.0044	I	12497459	12504938	7479	FALSE
WBGene00197301	V:5062504-5062649	129	3	2	6972610	0.00253811	10000	10000	6972610	30	0	0.003	V	5062504	5062649	145	FALSE
WBGene00014073	III:9868562-9871109,III:9868562-9870543	129	6	5	8895020	0.00256052	10000	10000	8895020	34	0	0.0034	III	9868562	9871109	2547	FALSE
WBGene00044655	V:19777246-19778708	129	84	83	52740200	0.00257149	10000	10000	52740200	64	0	0.0064	V	19777246	19778708	1462	FALSE
WBGene00001131	I:11526917-11557792,I:11526917-11529802,I:11526917-11552106,I:11526917-11546567,I:11526917-11541127,I:11526917-11529050,I:11526917-11528919,I:11526917-11529653,I:11526917-11557792,I:11526917-11552106,I:11526917-11546567	129	546	545	264663000	0.00262661	10000	10000	264663000	32	0	0.0032	I	11526917	11557792	30875	FALSE
WBGene00009113	I:10418233-10421858	129	15	15	5631220	0.00263763	10000	10000	5631220	55	0	0.0055	I	10418233	10421858	3625	FALSE
WBGene00010651	I:11486895-11488446	129	24	24	10015300	0.0026687	10000	10000	10015300	55	0	0.0055	I	11486895	11488446	1551	FALSE
WBGene00004721	I:6407517-6409211	129	5	4	6347560	0.00267175	10000	10000	6347560	48	0	0.0048	I	6407517	6409211	1694	FALSE
WBGene00007984	I:9536487-9540968	129	16	16	7429800	0.00270624	10000	10000	7429800	44	0	0.0044	I	9536487	9540968	4481	FALSE
WBGene00003374	V:5056378-5064803,V:5056378-5064803	129	94	94	46567900	0.00277087	10000	10000	46567900	39	0	0.0039	V	5056378	5064803	8425	FALSE
WBGene00019053	IV:1343678-1344798	129	11	11	5236090	0.00279789	10000	10000	5236090	45	0	0.0045	IV	1343678	1344798	1120	FALSE
WBGene00010223	X:11012661-11014412	129	15	15	9317120	0.00280343	10000	10000	9317120	45	0	0.0045	X	11012661	11014412	1751	FALSE
WBGene00016019	II:57669-59904,II:57669-60080	129	26	26	10274900	0.0028378	10000	10000	10274900	26	0	0.0026	II	57669	59904	2235	FALSE
WBGene00235304	IV:16918282-16918432	129	15	15	20840800	0.00296308	10000	10000	20840800	45	0	0.0045	IV	16918282	16918432	150	FALSE
WBGene00019141	II:2030749-2031944	129	93	93	44139200	0.00296606	10000	10000	44139200	97	0	0.0097	II	2030749	2031944	1195	FALSE
WBGene00007047	I:10291893-10297922	129	32	32	17931200	0.00297613	10000	10000	17931200	78	0	0.0078	I	10291893	10297922	6029	FALSE
WBGene00044529	V:4336688-4338926	129	45	44	29029900	0.00298301	10000	10000	29029900	44	0	0.0044	V	4336688	4338926	2238	FALSE
WBGene00017583	II:3683176-3684996	129	164	164	94503400	0.0029969	10000	10000	94503400	87	0	0.0087	II	3683176	3684996	1820	FALSE
WBGene00021237	I:2026315-2033948	129	118	118	51006000	0.00299947	10000	10000	51006000	59	0	0.0059	I	2026315	2033948	7633	FALSE
WBGene00021354	I:2113654-2118530,I:2113654-2118550	129	103	103	37213700	0.00303152	10000	10000	37213700	42	0	0.0042	I	2113654	2118530	4876	FALSE
WBGene00021063	III:636479-638419	129	25	25	13018400	0.00303632	10000	10000	13018400	68	0	0.0068	III	636479	638419	1940	FALSE
WBGene00010928	V:19788679-19789343	129	9	9	3275050	0.00308415	10000	10000	3275050	50	0	0.005	V	19788679	19789343	664	FALSE
WBGene00008474	I:12417385-12418800	129	51	50	23220900	0.00317393	10000	10000	23220900	56	0	0.0056	I	12417385	12418800	1415	FALSE
WBGene00016944	I:6494289-6496107,I:6494279-6496107	129	4	3	5213180	0.0031761	10000	10000	5213180	45	0	0.0045	I	6494289	6496107	1818	FALSE
WBGene00197861	X:17367100-17367325	129	3	2	1317820	0.00319211	10000	10000	1317820	66	0	0.0066	X	17367100	17367325	225	FALSE
WBGene00202142	I:9550010-9550220	129	3	3	2038420	0.0032014	10000	10000	2038420	53	0	0.0053	I	9550010	9550220	210	FALSE
WBGene00009173	I:9287446-9290152	129	9	9	3945970	0.00322967	10000	10000	3945970	37	0	0.0037	I	9287446	9290152	2706	FALSE
WBGene00015379	X:6346358-6347113	129	3	2	6642420	0.00323825	10000	10000	6642420	37	0	0.0037	X	6346358	6347113	755	FALSE
WBGene00022361	I:1491339-1514409,I:1491339-1514409	129	693	693	197601000	0.00326176	10000	10000	197601000	47	0	0.0047	I	1491339	1514409	23070	FALSE
WBGene00009468	I:11274968-11276330	129	15	14	7572340	0.00331221	10000	10000	7572340	57	0	0.0057	I	11274968	11276330	1362	FALSE
WBGene00198602	X:6218928-6219153	129	4	3	8048630	0.00331462	10000	10000	8048630	52	0	0.0052	X	6218928	6219153	225	FALSE
WBGene00003703	I:11473217-11475662	129	60	60	22154900	0.003328	10000	10000	22154900	60	0	0.006	I	11473217	11475662	2445	FALSE
WBGene00017132	II:5421276-5422741,II:5421252-5422741	129	7	7	6733000	0.00335728	10000	10000	6733000	53	0	0.0053	II	5421276	5422741	1465	FALSE
WBGene00011652	I:12369188-12370607	129	35	35	17528300	0.00335855	10000	10000	17528300	61	0	0.0061	I	12369188	12370607	1419	FALSE
WBGene00206423	III:11694135-11695169	129	27	26	19101800	0.00338189	10000	10000	19101800	57	0	0.0057	III	11694135	11695169	1034	FALSE
WBGene00019796	II:3624197-3626950	129	32	31	25853300	0.00339666	10000	10000	25853300	28	0	0.0028	II	3624197	3626950	2753	FALSE
WBGene00005958	V:3916838-3918446	129	198	198	123300000	0.00341522	10000	10000	123300000	78	0	0.0078	V	3916838	3918446	1608	FALSE
WBGene00005992	II:3689466-3690746	129	70	70	38837800	0.0034249	10000	10000	38837800	90	0	0.009	II	3689466	3690746	1280	FALSE
WBGene00007640	I:11604603-11611301	129	166	166	60928400	0.00345831	10000	10000	60928400	54	0	0.0054	I	11604603	11611301	6698	FALSE
WBGene00001704	I:13564566-13566312	129	21	21	10332400	0.00347149	10000	10000	10332400	37	0	0.0037	I	13564566	13566312	1746	FALSE
WBGene00197522	X:10924217-10924354	129	2	2	1743450	0.00354006	10000	10000	1743450	53	0	0.0053	X	10924217	10924354	137	FALSE
WBGene00009312	I:11510065-11512769	129	65	65	21879500	0.00355298	10000	10000	21879500	45	0	0.0045	I	11510065	11512769	2704	FALSE
WBGene00045178	IV:16630921-16631206	129	12	12	6407220	0.00364329	10000	10000	6407220	52	0	0.0052	IV	16630921	16631206	285	FALSE
WBGene00199608	X:10935141-10935274	129	2	1	1055500	0.00367426	10000	10000	1055500	59	0	0.0059	X	10935141	10935274	133	FALSE
WBGene00019794	II:3631443-3633875	129	65	64	48485400	0.00367476	10000	10000	48485400	47	0	0.0047	II	3631443	3633875	2432	FALSE
WBGene00015392	X:8541864-8542284	129	3	3	2039290	0.00368272	10000	10000	2039290	69	0	0.0069	X	8541864	8542284	420	FALSE
